respondent_id,현재 함께 거주하고 있는 인원 구성은 어떻게 되나요?,현재의 결혼/동거 상태를 가장 잘 설명하는 항목을 선택해주세요.,,안방(침실)에서 침대에 앉아 기대어 생활하는 빈도는 어느 정도인가요?,"침대에 기대어 생활하는 경우, 보통 한 번에 얼마나 오래 머무르시나요?",침대에 기대어 있을 때 주로 어떤 활동을 하나요? (모두 선택),,,,,,,현재 침실(안방)에 놓여 있는 가구와 물건은 무엇인가요? (모두 골라주세요),,,,,,,,,,침대를 고를 때 헤드보드 디자인이 구매 결정에 얼마나 영향을 미치나요?,현재 침대의 헤드보드는 어떤 형태로 되어 있나요?,헤드보드를 없이 침대를 사용하시는 이유는 무엇인가요?,헤드보드 없이 침대를 이용하시면서 불편했던 점은 무엇인가요?,현재 사용 중인 침대의 헤드보드는 ‘기대어 사용하기에 편안하다’고 느끼시나요?,"헤드보드가 기대어 사용하기 불편하다고(그렇지 않다고) 응답하신 경우,어떤 점이 가장 아쉬운가요? (모두 선택)",,,,,,"기대기 불편할 때, 보통 어떻게 보완해서 사용하시나요?",,,,,동의 여부,현재 거주 형태를 선택해주세요.,,성을 선택해주세요.,출생연도,추후 인터뷰 희망 여부,User_ID
respondent_id,Response,Response,기타(구체적으로 적어주세요),Response,Response,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",독서,노트북 작업 (업무 / 검색),대화 / 통화,잠들기 전 휴식,기타(구체적으로 알려주세요),TV / 모니터,소파 / 1인용 의자,화장대,협탁 (침대 옆 테이블),책상 / 작업 공간,옷장 / 드레스룸,운동기구,식물 / 인테리어 소품,"아기용품 (수유용품, 유아침대 등)",기타(구체적으로 적어주세요),Response,Response,Open-Ended Response,Open-Ended Response,Response,기대면 등이 아프다,각도가 불편하다,쿠션감이 부족하다,머리·목을 받쳐주지 못한다,오래 기대기엔 구조적으로 불안하다,기타(구체적으로 적어주세요),베개를 여러 개 받친다,쿠션을 추가로 둔다,벽에 기대어 앉는다,그냥 참고 사용한다,기타(구체적으로 적어주세요),Response,Response,기타(구체적으로 명시),Response,Open-Ended Response,Response,Open-Ended Response
115014730004,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,,,,,,,,없음,어느 정도 중요함,나무/철제 등 (하드 타입),,,그렇지 않다,,,,,오래 기대기엔 구조적으로 불안하다,,베개를 여러 개 받친다,,,,,동의합니다,아파트,,여성,1975,아니오,26149309
115014615097,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 1년 이내,,거의 매일,15–30분,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,TV / 모니터,,,협탁 (침대 옆 테이블),책상 / 작업 공간,,,,,,매우 중요함,패브릭/쿠션 등 (소프트 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1996,예,22532938
115014588465,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 5년 이상,,거의 매일,1시간 이상,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,,소파 / 1인용 의자,화장대,,책상 / 작업 공간,,,,,,어느 정도 중요함,없음(무헤드),침대없음,침대없음,,,,,,,,,,,,,동의합니다,아파트,,여성,1968,예,15669697
115014584832,4인 이상 가구,결혼한 지 5년 이상,,거의 매일,30분–1시간,,"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,TV / 모니터,,,,책상 / 작업 공간,옷장 / 드레스룸,,,,스타일러,어느 정도 중요함,나무/철제 등 (하드 타입),,,그렇지 않다,기대면 등이 아프다,,,,,,베개를 여러 개 받친다,,,,,동의합니다,아파트,,여성,1985,아니오,24202196
115014575921,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 5년 이상,,"매일, 비교적 오랜 시간 사용한다",30분–1시간,,"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,식물 / 인테리어 소품,,,매우 중요함,나무/철제 등 (하드 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1968,예,15249946
115014556227,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 1년 이내,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,어느 정도 중요함,나무/철제 등 (하드 타입),,,전혀 그렇지 않다,기대면 등이 아프다,,,머리·목을 받쳐주지 못한다,오래 기대기엔 구조적으로 불안하다,,베개를 여러 개 받친다,,,,,동의합니다,아파트,,여성,1988,예,12233336
115014548165,3인 가구 (자녀 포함),결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,어느 정도 중요함,패브릭/쿠션 등 (소프트 타입),,,매우 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1982,예,12152498
115014529005,3인 가구 (자녀 포함),가족(부모 등)과 거주 중,,주 1–2회 정도,30분–1시간,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),,독서,,,,,,,,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,식물 / 인테리어 소품,,,어느 정도 중요함,없음(무헤드),깔끔한게 좋아서,안정감이 부족하다,,,,,,,,,,,,,동의합니다,아파트,,여성,1993,예,20275367
115014528438,3인 가구 (자녀 포함),기타(구체적으로 적어주세요),딸과 거주중,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,,,옷장 / 드레스룸,,,,,전혀 중요하지 않음,패브릭/쿠션 등 (소프트 타입),,,보통이다,,,,,,,,,,,,동의합니다,아파트,,여성,1962,예,14262530
